workbook,view,tema,ladefe_url,pages_count,reused,tableau_url,ladefe_pages
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,perfil-demografico-de-los-ninos-ninas-y-adolescentes,https://ladefe.gob.ar/monitoreo/perfil-demografico-de-los-ninos-ninas-y-adolescentes/informacion-demografica-censal/,1,No,https://public.tableau.com/views/1_1Aspectosdemogrficos_Informacincensal/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/perfil-demografico-de-los-ninos-ninas-y-adolescentes/informacion-demografica-censal/
1_2Aspectosdemogrficos_Censal,DHBEvolucinTemporal,perfil-demografico-de-los-ninos-ninas-y-adolescentes,https://ladefe.gob.ar/monitoreo/perfil-demografico-de-los-ninos-ninas-y-adolescentes/informacion-demografica-urbana-eph/,1,No,https://public.tableau.com/views/1_2Aspectosdemogrficos_Censal/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/perfil-demografico-de-los-ninos-ninas-y-adolescentes/informacion-demografica-urbana-eph/
2_1NBI,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/pobreza/necesidades-basicas-insatisfechas/,1,No,https://public.tableau.com/views/2_1NBI/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/pobreza/necesidades-basicas-insatisfechas/
2_1aTasasdepobreza,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/pobreza/pobreza-monetaria/tasa-de-pobreza-e-indigencia/,1,No,https://public.tableau.com/views/2_1aTasasdepobreza/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/pobreza/pobreza-monetaria/tasa-de-pobreza-e-indigencia/
2_1bPobrezahogares,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/pobreza/pobreza-monetaria/pobreza-segun-caracteristicas-de-los-hogares-2/,1,No,https://public.tableau.com/views/2_1bPobrezahogares/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/pobreza/pobreza-monetaria/pobreza-segun-caracteristicas-de-los-hogares-2/
2_2aSeg_social_General,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/politicas-de-transferencias-monetarias/seguridad-social/cobertura-de-la-seguridad-social-total/,1,No,https://public.tableau.com/views/2_2aSeg_social_General/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/politicas-de-transferencias-monetarias/seguridad-social/cobertura-de-la-seguridad-social-total/
2_2bAUH,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/politicas-de-transferencias-monetarias/seguridad-social/asignacion-universal-por-hija-o-auh-2/,1,No,https://public.tableau.com/views/2_2bAUH/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/politicas-de-transferencias-monetarias/seguridad-social/asignacion-universal-por-hija-o-auh-2/
2_2cAAFF,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/politicas-de-transferencias-monetarias/seguridad-social/asignacion-por-hija-o-aaff/,1,No,https://public.tableau.com/views/2_2cAAFF/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/politicas-de-transferencias-monetarias/seguridad-social/asignacion-por-hija-o-aaff/
2_2dAsignacinembarazo,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/politicas-de-transferencias-monetarias/seguridad-social/asignaciones-para-embarazo-aue-y-prenatal-2/,1,No,https://public.tableau.com/views/2_2dAsignacinembarazo/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/politicas-de-transferencias-monetarias/seguridad-social/asignaciones-para-embarazo-aue-y-prenatal-2/
2_2ePensinmadre7hijos,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/politicas-de-transferencias-monetarias/seguridad-social/pension-para-madres-de-7-hijas-os-o-mas-2/,1,No,https://public.tableau.com/views/2_2ePensinmadre7hijos/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/politicas-de-transferencias-monetarias/seguridad-social/pension-para-madres-de-7-hijas-os-o-mas-2/
2_3Seguridadalimentaria,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/politicas-de-transferencias-monetarias/seguridad-alimentaria/,1,No,https://public.tableau.com/views/2_3Seguridadalimentaria/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/politicas-de-transferencias-monetarias/seguridad-alimentaria/
2_5aViviviendaCFCHabitacionales,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/vivienda-y-habitat/informacion-habitacional-censal/condiciones-habitacionales-censo/,1,No,https://public.tableau.com/views/2_5aViviviendaCFCHabitacionales/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/vivienda-y-habitat/informacion-habitacional-censal/condiciones-habitacionales-censo/
2_5bViviviendaCFServicios,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/vivienda-y-habitat/informacion-habitacional-censal/acceso-a-servicios-publicos-censo/,1,No,https://public.tableau.com/views/2_5bViviviendaCFServicios/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/vivienda-y-habitat/informacion-habitacional-censal/acceso-a-servicios-publicos-censo/
2_5cViviviendaEPHChabitacionales,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/vivienda-y-habitat/informacion-habitacional-urbana-eph/condiciones-habitacionales-eph/,1,No,https://public.tableau.com/views/2_5cViviviendaEPHChabitacionales/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/vivienda-y-habitat/informacion-habitacional-urbana-eph/condiciones-habitacionales-eph/
2_5dViviviendaEPHServicios,DHBEvolucinTemporal,condiciones-de-vida-digna-en-la-ninez-y-adolescencia,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/vivienda-y-habitat/informacion-habitacional-urbana-eph/acceso-a-servicios-publicos-eph/,1,No,https://public.tableau.com/views/2_5dViviviendaEPHServicios/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/vivienda-y-habitat/informacion-habitacional-urbana-eph/acceso-a-servicios-publicos-eph/
2_6aTrabajoadolescenteCenso,DHBEvolucinTemporal,adolescencia,https://ladefe.gob.ar/monitoreo/adolescencia/trabajo-adolescente-informacion-censal/,2,Sí,https://public.tableau.com/views/2_6aTrabajoadolescenteCenso/DHBEvolucinTemporal,https://ladefe.gob.ar/monitoreo/adolescencia/trabajo-adolescente-informacion-censal/ | https://ladefe.gob.ar/monitoreo/condiciones-de-vida-digna-en-la-ninez-y-adolescencia/trabajo-infantil-y-adolescente/trabajo-adolescente-censo/
